"annotation_id","annotator","created_at","id","lead_time","ner","text","updated_at"
25,"1","2025-01-27T01:58:52.248324Z",22,27892.774,"[{""start"":0,""end"":10,""text"":""#Jalandhar"",""labels"":[""PROPN""]},{""start"":22,""end"":30,""text"":""Kejriwal"",""labels"":[""PROPN""]},{""start"":43,""end"":58,""text"":""#arvindkejriwal"",""labels"":[""PROPN""]},{""start"":60,""end"":79,""text"":""jalandharbyelection"",""labels"":[""PROPN""]},{""start"":81,""end"":87,""text"":""punjab"",""labels"":[""PROPN""]},{""start"":89,""end"":95,""text"":""shorts"",""labels"":[""PROPN""]},{""start"":11,""end"":14,""text"":""के "",""labels"":[""ADP""]},{""start"":20,""end"":22,""text"":""को"",""labels"":[""ADP""]},{""start"":31,""end"":33,""text"":""की"",""labels"":[""ADP""]},{""start"":14,""end"":19,""text"":""लोगों"",""labels"":[""NOUN""]},{""start"":34,""end"":41,""text"":""गारंटी "",""labels"":[""NOUN""]}]","#Jalandhar के लोगों कोKejriwal की गारंटी | #arvindkejriwal #jalandharbyelection #punjab #shorts","2025-01-27T01:58:52.248367Z"
1,"1","2025-01-26T17:44:57.383261Z",740,298.956,"[{""start"":0,""end"":16,""text"":""Himachal Pradesh"",""labels"":[""PROPN""]},{""start"":41,""end"":76,""text"":""CM Sukhvinder Singh Sukhu | PM Modi"",""labels"":[""PROPN""]},{""start"":17,""end"":19,""text"":""को"",""labels"":[""ADP""]},{""start"":20,""end"":23,""text"":""मदद"",""labels"":[""NOUN""]},{""start"":24,""end"":26,""text"":""की"",""labels"":[""CONJ""]},{""start"":27,""end"":32,""text"":""जरूरत"",""labels"":[""VERB""]},{""start"":33,""end"":35,""text"":""है"",""labels"":[""PART""]},{""start"":79,""end"":95,""text"":""Disaster | Flood"",""labels"":[""NOUN""]}]","Himachal Pradesh को मदद की जरूरत है... | CM Sukhvinder Singh Sukhu | PM Modi | Disaster | Flood","2025-01-26T17:50:21.594517Z"
2,"1","2025-01-26T18:01:28.385664Z",741,690.8180000000001,"[{""start"":17,""end"":19,""text"":""15"",""labels"":[""NUM""]},{""start"":33,""end"":35,""text"":""15"",""labels"":[""NUM""]},{""start"":0,""end"":2,""text"":""हम"",""labels"":[""PRON""]},{""start"":54,""end"":57,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":66,""end"":83,""text"":""CM Bhupesh Baghel"",""labels"":[""PROPN""]},{""start"":86,""end"":98,""text"":""Chhattisgarh"",""labels"":[""PROPN""]},{""start"":8,""end"":12,""text"":""नहीं"",""labels"":[""PART_NEG""]},{""start"":12,""end"":13,""text"":"" "",""labels"":[""PART""]},{""start"":3,""end"":7,""text"":""डरते"",""labels"":[""VERB""]},{""start"":13,""end"":15,""text"":""है"",""labels"":[""VERB""]},{""start"":20,""end"":23,""text"":""साल"",""labels"":[""NOUN""]},{""start"":27,""end"":32,""text"":""सरकार"",""labels"":[""NOUN""]},{""start"":61,""end"":65,""text"":""बरसे"",""labels"":[""VERB""]},{""start"":58,""end"":60,""text"":""पर"",""labels"":[""ADP""]},{""start"":50,""end"":52,""text"":""गई"",""labels"":[""VERB""]},{""start"":45,""end"":50,""text"":""सिमट "",""labels"":[""VERB""]},{""start"":42,""end"":44,""text"":""पर"",""labels"":[""ADP""]},{""start"":36,""end"":41,""text"":""सीटों"",""labels"":[""NOUN""]},{""start"":24,""end"":26,""text"":""की"",""labels"":[""PRON""]}]","हम डरते नहीं है, 15 साल की सरकार 15 सीटों पर सिमट गई' BJP पर बरसे CM Bhupesh Baghel | Chhattisgarh","2025-01-26T18:01:28.385706Z"
3,"1","2025-01-26T18:11:52.660376Z",742,305.925,"[{""start"":84,""end"":92,""text"":""D Arvind"",""labels"":[""PROPN""]},{""start"":70,""end"":75,""text"":"" BJP "",""labels"":[""PROPN""]},{""start"":47,""end"":51,""text"":""Modi"",""labels"":[""PROPN""]},{""start"":29,""end"":32,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":0,""end"":3,""text"":""EVM"",""labels"":[""NOUN""]},{""start"":14,""end"":18,""text"":""बटन "",""labels"":[""NOUN""]},{""start"":4,""end"":6,""text"":""पर"",""labels"":[""ADP""]},{""start"":7,""end"":10,""text"":""कोई"",""labels"":[""PRON""]},{""start"":11,""end"":13,""text"":""भी"",""labels"":[""DET""]},{""start"":18,""end"":23,""text"":""दबाइए"",""labels"":[""VERB""]},{""start"":25,""end"":28,""text"":""वोट"",""labels"":[""NOUN""]},{""start"":33,""end"":35,""text"":""को"",""labels"":[""ADP""]},{""start"":36,""end"":38,""text"":""ही"",""labels"":[""PRON""]},{""start"":39,""end"":45,""text"":""जाएगा’"",""labels"":[""VERB""]},{""start"":51,""end"":54,""text"":"" के"",""labels"":[""ADP""]},{""start"":55,""end"":60,""text"":""सांसद"",""labels"":[""NOUN""]},{""start"":61,""end"":63,""text"":""ने"",""labels"":[""ADP""]},{""start"":64,""end"":70,""text"":""खोल दी"",""labels"":[""VERB""]},{""start"":75,""end"":77,""text"":""की"",""labels"":[""ADP""]},{""start"":77,""end"":82,""text"":"" पोल "",""labels"":[""NOUN""]}]","EVM पर कोई भी बटन दबाइए, वोट BJP को ही जाएगा’- Modi के सांसद ने खोल दी BJP की पोल | D Arvind","2025-01-26T18:11:52.660411Z"
26,"1","2025-01-27T02:02:12.871171Z",743,145.131,"[{""start"":0,""end"":3,""text"":""मैं"",""labels"":[""PRON""]},{""start"":4,""end"":6,""text"":""ना"",""labels"":[""PART_NEG""]},{""start"":6,""end"":11,""text"":"" मरने"",""labels"":[""VERB""]},{""start"":15,""end"":19,""text"":""डरता"",""labels"":[""VERB""]},{""start"":27,""end"":31,""text"":""जाने"",""labels"":[""VERB""]},{""start"":43,""end"":48,""text"":""भड़के"",""labels"":[""VERB""]},{""start"":23,""end"":26,""text"":""जेल"",""labels"":[""NOUN""]},{""start"":36,""end"":39,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":49,""end"":66,""text"":""CM Bhupesh Baghel"",""labels"":[""PROPN""]},{""start"":69,""end"":99,""text"":""Chhattisgarh | ED-IT | PM Modi"",""labels"":[""PROPN""]}]","मैं ना मरने से डरता ना जेल जाने से' BJP पर भड़के CM Bhupesh Baghel | Chhattisgarh | ED-IT | PM Modi","2025-01-27T02:02:12.871213Z"
27,"1","2025-01-27T02:06:17.934660Z",744,239.454,"[{""start"":0,""end"":4,""text"":""मुझे"",""labels"":[""PRON""]},{""start"":4,""end"":7,""text"":"" ये"",""labels"":[""PRON""]},{""start"":8,""end"":13,""text"":""बताते"",""labels"":[""VERB""]},{""start"":18,""end"":32,""text"":""खुशी हो रही है"",""labels"":[""VERB""]},{""start"":60,""end"":65,""text"":""लिखी "",""labels"":[""VERB""]},{""start"":73,""end"":79,""text"":""चिट्ठी"",""labels"":[""NOUN""]},{""start"":41,""end"":53,""text"":""Sonia Gandhi"",""labels"":[""PROPN""]},{""start"":65,""end"":69,""text"":""ISRO"",""labels"":[""PROPN""]},{""start"":81,""end"":95,""text"":"" Chandrayaan 3"",""labels"":[""PROPN""]},{""start"":54,""end"":56,""text"":""जी"",""labels"":[""X""]},{""start"":56,""end"":59,""text"":"" ने"",""labels"":[""ADP""]},{""start"":33,""end"":35,""text"":""कि"",""labels"":[""ADP""]},{""start"":70,""end"":72,""text"":""को"",""labels"":[""ADP""]},{""start"":14,""end"":17,""text"":""हुए"",""labels"":[""VERB""]}]","मुझे ये बताते हुए खुशी हो रही है कि'...| Sonia Gandhi जी ने लिखी ISRO को चिट्ठी | Chandrayaan 3","2025-01-27T02:06:17.934689Z"
28,"1","2025-01-27T02:09:56.150690Z",745,205.86,"[{""start"":0,""end"":18,""text"":""Mallikarjun Kharge"",""labels"":[""PROPN""]},{""start"":22,""end"":25,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":54,""end"":57,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":82,""end"":96,""text"":""Madhya Pradesh"",""labels"":[""PROPN""]},{""start"":29,""end"":32,""text"":""झूठ"",""labels"":[""NOUN""]},{""start"":36,""end"":43,""text"":""पुलिंदा"",""labels"":[""NOUN""]},{""start"":58,""end"":64,""text"":""नेताओं"",""labels"":[""NOUN""]},{""start"":75,""end"":80,""text"":""भगदड़"",""labels"":[""NOUN""]},{""start"":44,""end"":52,""text"":""खोल दिया"",""labels"":[""VERB""]},{""start"":68,""end"":74,""text"":"" मच गई"",""labels"":[""VERB""]},{""start"":26,""end"":28,""text"":""के"",""labels"":[""ADP""]},{""start"":33,""end"":35,""text"":""का"",""labels"":[""ADP""]},{""start"":64,""end"":68,""text"":"" में"",""labels"":[""ADP""]},{""start"":18,""end"":21,""text"":"" ने"",""labels"":[""CONJ""]}]","Mallikarjun Kharge ने BJP के झूठ का पुलिंदा खोल दिया। BJP नेताओं में मच गई भगदड़। Madhya Pradesh","2025-01-27T02:09:56.150738Z"
29,"1","2025-01-27T02:12:43.843723Z",746,161.962,"[{""start"":0,""end"":6,""text"":""गुजरात"",""labels"":[""PROPN""]},{""start"":7,""end"":9,""text"":""से"",""labels"":[""CONJ""]},{""start"":10,""end"":13,""text"":""आया"",""labels"":[""VERB""]},{""start"":14,""end"":18,""text"":""मेरा"",""labels"":[""PRON""]},{""start"":19,""end"":24,""text"":""दोस्त"",""labels"":[""NOUN""]},{""start"":26,""end"":31,""text"":""दोस्त"",""labels"":[""NOUN""]},{""start"":32,""end"":34,""text"":""को"",""labels"":[""ADP""]},{""start"":35,""end"":39,""text"":""सलाम"",""labels"":[""VERB""]},{""start"":40,""end"":43,""text"":""करो"",""labels"":[""VERB""]},{""start"":46,""end"":60,""text"":""Kanhaiya Kumar"",""labels"":[""NOUN""]},{""start"":61,""end"":63,""text"":""ने"",""labels"":[""ADP""]},{""start"":64,""end"":68,""text"":""खोली"",""labels"":[""VERB""]},{""start"":69,""end"":72,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":73,""end"":75,""text"":""की"",""labels"":[""CONJ""]},{""start"":76,""end"":79,""text"":""पोल"",""labels"":[""NOUN""]}]","गुजरात से आया मेरा दोस्त, दोस्त को सलाम करो'- Kanhaiya Kumar ने खोली BJP की पोल","2025-01-27T02:12:43.843742Z"
30,"1","2025-01-27T02:13:56.996562Z",747,61.63,"[{""start"":0,""end"":13,""text"":""Rahul Gandhi "",""labels"":[""PROPN""]},{""start"":14,""end"":32,""text"":"" Bharat Jodo Yatra"",""labels"":[""PROPN""]},{""start"":35,""end"":47,""text"":""राहुल गांधी "",""labels"":[""PROPN""]},{""start"":49,""end"":66,""text"":""भारत जोड़ो यात्रा"",""labels"":[""PROPN""]},{""start"":69,""end"":75,""text"":""Singer"",""labels"":[""NOUN""]},{""start"":76,""end"":88,""text"":""Shabab Sabri"",""labels"":[""PROPN""]}]","Rahul Gandhi | Bharat Jodo Yatra | राहुल गांधी | भारत जोड़ो यात्रा | Singer Shabab Sabri","2025-01-27T02:13:56.996596Z"
31,"1","2025-01-27T02:17:22.850318Z",748,202.102,"[{""start"":0,""end"":13,""text"":""Chandrayaan 3"",""labels"":[""PROPN""]},{""start"":14,""end"":16,""text"":""की"",""labels"":[""CONJ""]},{""start"":17,""end"":22,""text"":""सफलता"",""labels"":[""ADV""]},{""start"":22,""end"":31,""text"":"" प्रत्येक"",""labels"":[""PRON""]},{""start"":32,""end"":38,""text"":""भारतीय"",""labels"":[""NOUN""]},{""start"":39,""end"":41,""text"":""के"",""labels"":[""CONJ""]},{""start"":42,""end"":45,""text"":""लिए"",""labels"":[""X""]},{""start"":46,""end"":50,""text"":""गर्व"",""labels"":[""ADJ""]},{""start"":51,""end"":53,""text"":""की"",""labels"":[""DET""]},{""start"":54,""end"":57,""text"":""बात"",""labels"":[""VERB""]},{""start"":57,""end"":60,""text"":"" है"",""labels"":[""VERB""]},{""start"":70,""end"":88,""text"":""Mallikarjun Kharge"",""labels"":[""PROPN""]},{""start"":63,""end"":64,""text"":""I"",""labels"":[""PROPN""]},{""start"":64,""end"":68,""text"":""SRO "",""labels"":[""PROPN""]}]","Chandrayaan 3 की सफलता प्रत्येक भारतीय के लिए गर्व की बात है | ISRO | Mallikarjun Kharge","2025-01-27T02:17:22.850346Z"
